date,valid
2018-08-15,13.0
2018-08-16,19.0
2018-08-17,22.0
2018-08-18,10.0
2018-08-19,14.0
2018-08-20,
2018-08-21,21.0
2018-08-22,20.0
2018-08-23,13.0
2018-08-24,12.0
2018-08-25,10.0
2018-08-26,12.0
2018-08-27,13.0
2018-08-28,18.0
2018-08-29,21.0
2018-08-30,21.0
2018-08-31,16.0
2018-09-01,14.0
2018-09-02,13.0
2018-09-03,13.0
2018-09-04,15.0
2018-09-05,19.0
2018-09-06,15.0
2018-09-07,17.0
2018-09-08,17.0
2018-09-09,16.0
2018-09-10,16.0
2018-09-11,18.0
2018-09-12,17.0
2018-09-13,13.0
2018-09-14,15.0
2018-09-15,12.0
2018-09-16,16.0
2018-09-17,17.0
2018-09-18,10.0
2018-09-19,17.0
2018-09-20,22.0
2018-09-21,14.0
2018-09-22,8.0
2018-09-23,7.0
2018-09-24,11.0
2018-09-25,18.0
2018-09-26,21.0
2018-09-27,19.0
2018-09-28,12.0
2018-09-29,8.0
2018-09-30,8.0
2018-10-01,9.0
2018-10-02,10.0
2018-10-03,12.0
2018-10-04,14.0
2018-10-05,18.0
2018-10-06,18.0
2018-10-07,17.0
2018-10-08,11.0
2018-10-09,8.0
2018-10-10,22.0
2018-10-11,20.0
2018-10-12,
2018-10-13,16.0
2018-10-14,
2018-10-15,
2018-10-16,
2018-10-17,6.0
2018-10-18,7.0
2018-10-19,
2018-10-20,
2018-10-21,
2018-10-22,
2018-10-23,13.0
2018-10-24,11.0
2018-10-25,9.0
2018-10-26,8.0
2018-10-27,
2018-10-28,
2018-10-29,
2018-10-30,
2018-10-31,9.0
2018-11-01,16.0
2018-11-02,8.0
2018-11-03,7.0
2018-11-04,5.0
2018-11-05,7.0
2018-11-06,8.0
2018-11-07,11.0
2018-11-08,9.0
2018-11-09,6.0
2018-11-10,7.0
2018-11-11,6.0
2018-11-12,6.0
2018-11-13,7.0
2018-11-14,8.0
2018-11-15,7.0
2018-11-16,6.0
2018-11-17,5.0
2018-11-18,5.0
2018-11-19,7.0
2018-11-20,7.0
2018-11-21,8.0
2018-11-22,7.0
2018-11-23,8.0
2018-11-24,8.0
2018-11-25,9.0
2018-11-26,9.0
2018-11-27,8.0
2018-11-28,12.0
2018-11-29,13.0
2018-11-30,13.0
2018-12-01,10.0
2018-12-02,12.0
2018-12-03,11.0
2018-12-04,8.0
2018-12-05,13.0
2018-12-06,13.0
2018-12-07,13.0
2018-12-08,9.0
2018-12-09,7.0
2018-12-10,7.0
2018-12-11,6.0
2018-12-12,6.0
2018-12-13,3.0
2018-12-14,5.0
2018-12-15,7.0
2018-12-16,7.0
2018-12-17,7.0
2018-12-18,10.0
2018-12-19,13.0
2018-12-20,9.0
2018-12-21,9.0
2018-12-22,12.0
2018-12-23,12.0
2018-12-24,12.0
2018-12-25,14.0
2018-12-26,10.0
2018-12-27,8.0
2018-12-28,9.0
2018-12-29,6.0
2018-12-30,5.0
2018-12-31,9.0
2019-01-01,7.0
2019-01-02,8.0
2019-01-03,10.0
2019-01-04,15.0
2019-01-05,21.0
2019-01-06,9.0
2019-01-07,8.0
2019-01-08,5.0
2019-01-09,5.0
2019-01-10,8.0
2019-01-11,6.0
2019-01-12,6.0
2019-01-13,6.0
2019-01-14,8.0
2019-01-15,11.0
2019-01-16,8.0
2019-01-17,8.0
2019-01-18,14.0
2019-01-19,17.0
2019-01-20,11.0
2019-01-21,9.0
2019-01-22,9.0
2019-01-23,11.0
2019-01-24,12.0
2019-01-25,14.0
2019-01-26,12.0
2019-01-27,8.0
2019-01-28,10.0
2019-01-29,14.0
2019-01-30,11.0
2019-01-31,11.0
2019-02-01,12.0
2019-02-02,14.0
2019-02-03,12.0
2019-02-04,15.0
2019-02-05,15.0
2019-02-06,24.0
2019-02-07,19.0
2019-02-08,12.0
2019-02-09,18.0
2019-02-10,14.0
2019-02-11,8.0
2019-02-12,12.0
2019-02-13,7.0
2019-02-14,12.0
2019-02-15,17.0
2019-02-16,16.0
2019-02-17,21.0
2019-02-18,22.0
2019-02-19,
2019-02-20,
2019-02-21,
2019-02-22,
2019-02-23,7.0
2019-02-24,6.0
2019-02-25,9.0
2019-02-26,11.0
2019-02-27,12.0
2019-02-28,15.0
2019-03-01,9.0
2019-03-02,7.0
2019-03-03,7.0
2019-03-04,5.0
2019-03-05,4.0
2019-03-06,4.0
2019-03-07,4.0
2019-03-08,6.0
2019-03-09,8.0
2019-03-10,8.0
2019-03-11,9.0
2019-03-12,11.0
2019-03-13,10.0
2019-03-14,7.0
2019-03-15,7.0
2019-03-16,9.0
2019-03-17,7.0
2019-03-18,7.0
2019-03-19,6.0
2019-03-20,21.0
2019-03-21,23.0
2019-03-22,11.0
2019-03-23,25.0
2019-03-24,16.0
2019-03-25,18.0
2019-03-26,16.0
2019-03-27,12.0
2019-03-28,14.0
2019-03-29,30.0
2019-03-30,41.0
2019-03-31,16.0
2019-04-01,22.0
2019-04-02,22.0
2019-04-03,15.0
2019-04-04,9.0
2019-04-05,11.0
2019-04-06,18.0
2019-04-07,13.0
2019-04-08,18.0
2019-04-09,12.0
2019-04-10,23.0
2019-04-11,24.0
2019-04-12,19.0
2019-04-13,28.0
2019-04-14,13.0
2019-04-15,11.0
2019-04-16,15.0
2019-04-17,24.0
2019-04-18,18.0
2019-04-19,10.0
2019-04-20,17.0
2019-04-21,20.0
2019-04-22,21.0
2019-04-23,29.0
2019-04-24,37.0
2019-04-25,28.0
2019-04-26,26.0
2019-04-27,29.0
2019-04-28,22.0
2019-04-29,16.0
2019-04-30,24.0
2019-05-01,27.0
2019-05-02,51.0
2019-05-03,61.0
2019-05-04,35.0
2019-05-05,12.0
2019-05-06,15.0
2019-05-07,22.0
2019-05-08,18.0
2019-05-09,20.0
2019-05-10,14.0
2019-05-11,25.0
2019-05-12,26.0
2019-05-13,24.0
2019-05-14,38.0
2019-05-15,51.0
2019-05-16,61.0
2019-05-17,44.0
2019-05-18,14.0
2019-05-19,29.0
2019-05-20,25.0
2019-05-21,68.0
2019-05-22,55.0
2019-05-23,56.0
2019-05-24,80.0
2019-05-25,104.0
2019-05-26,67.0
2019-05-27,46.0
2019-05-28,43.0
2019-05-29,13.0
2019-05-30,43.0
2019-05-31,18.0
2019-06-01,61.0
2019-06-02,70.0
2019-06-03,37.0
2019-06-04,64.0
2019-06-05,43.0
2019-06-06,18.0
2019-06-07,23.0
2019-06-08,26.0
2019-06-09,37.0
2019-06-10,37.0
2019-06-11,43.0
2019-06-12,18.0
2019-06-13,9.0
2019-06-14,28.0
2019-06-15,35.0
2019-06-16,53.0
2019-06-17,37.0
2019-06-18,24.0
2019-06-19,24.0
2019-06-20,72.0
2019-06-21,58.0
2019-06-22,36.0
2019-06-23,62.0
2019-06-24,60.0
2019-06-25,40.0
2019-06-26,64.0
2019-06-27,72.0
2019-06-28,72.0
2019-06-29,17.0
2019-06-30,15.0
2019-07-01,21.0
2019-07-02,35.0
2019-07-03,23.0
2019-07-04,18.0
2019-07-05,24.0
